Date,Chili (red),Tomatoes,Beans (dry),Cassava,Maize,Oranges (big size),Peas (fresh),Potatoes (Irish),Sorghum
2008-01-01,,,272.3484848484849,138.19444444444446,176.17424242424244,,,97.0,178.5546875
2008-02-01,,,257.04545454545456,139.6,157.4609375,,,98.52272727272727,164.921875
2008-03-01,,,272.5,147.91666666666666,145.8203125,,,97.8409090909091,170.1953125
2008-04-01,,,282.15909090909093,168.95833333333334,160.8984375,,,101.09848484848484,182.45967741935485
2008-05-01,,,284.0151515151515,152.39583333333334,158.04032258064515,,,98.61363636363636,196.96875
2008-06-01,,,289.59090909090907,150.51041666666666,174.453125,,,109.0909090909091,202.8671875
2008-07-01,,,332.9444424242424,140.97222916666666,190.67708125000001,,,118.24243333333334,190.86559354838707
2008-08-01,,,365.75757575757575,141.14583333333334,200.703125,,,125.11363636363636,204.58064516129033
2008-09-01,,,376.30833333333334,140.625,224.21428571428572,,,132.91666666666666,231.54166666666666
2008-10-01,,,366.5740740740741,157.04545454545453,251.2037037037037,,,131.64814814814815,250.33653846153845
2008-11-01,,,343.5416666666667,162.96875,257.0689655172414,,,126.10416666666667,268.0833333333333
2008-12-01,,,303.69444333333337,150.75757727272727,250.1821,,,114.74444333333334,287.399424137931
2009-01-01,,,251.55833333333334,162.04545454545453,223.39285714285714,,,120.375,278.51666666666665
2009-02-01,,,246.39166666666668,164.64285714285714,217.24137931034483,,,124.25,276.9166666666667
2009-03-01,,,233.06666666666666,170.47619047619048,204.10714285714286,,,129.16666666666666,267.5
2009-04-01,,,234.34722333333332,180.24621363636362,209.98511785714285,,,131.21944333333334,269.32222333333334
2009-05-01,,,219.69758387096775,174.50396666666668,212.47126896551725,,,131.3548387096774,266.6895129032258
2009-06-01,,,226.30491333333333,173.52083181818182,218.40178571428572,,,124.28472000000001,223.27083666666667
2009-07-01,,,238.4709129032258,169.41304347826087,211.7683931034483,,,126.1354806451613,203.40322903225808
2009-08-01,,,263.90505806451614,170.17187083333332,216.76293103448276,,,146.32930000000002,193.91101612903225
2009-09-01,,,316.1144612903226,184.02790000000002,235.06209354838708,,,176.28522258064518,211.00497096774194
2009-10-01,,,338.767735483871,197.88187826086957,269.3623551724138,,,170.6198935483871,233.3026870967742
2009-11-01,,,384.9652419354839,213.8786260869565,290.5817925925926,,,148.90483548387095,252.5309129032258
2009-12-01,,,380.47285161290324,214.2878772727273,294.127975,,,111.67473225806451,258.73118387096775
2010-01-01,,,261.994378125,225.80034583333335,259.44085806451614,,,108.7265625,260.8372375
2010-02-01,,,250.1491935483871,223.5471,203.21120344827585,,,114.24058709677419,254.86290322580646
2010-03-01,,,253.14059032258064,223.32318695652174,181.77758620689656,,,125.73333548387097,249.15000322580644
2010-04-01,,,257.75269032258063,212.00724782608694,170.54166666666666,,,129.57392580645163,243.81047741935484
2010-05-01,,,256.13306774193546,198.2445652173913,168.60753548387098,,,134.7432741935484,233.87902903225805
2010-06-01,,,261.6301129032258,178.20555416666664,148.36350344827588,,,139.62607741935486,199.12554516129032
2010-07-01,,,276.4204475,171.2288806451613,146.69789736842105,,,140.22013846153845,188.30868974358972
2010-08-01,,,291.071158974359,153.46301428571428,148.65427499999998,,,156.15861794871793,199.02906756756755
2010-09-01,,,326.5759615384615,154.34636923076923,156.27914210526316,,,183.81879210526316,206.2942945945946
2010-10-01,,,325.7486548387097,145.196664,176.2983870967742,,,164.90942173913044,212.92672413793105
2010-11-01,,,321.24465609756095,154.8991,199.49451463414633,,,153.19604736842106,227.00384615384615
2010-12-01,,,305.97645,139.09568148148148,183.9525051282051,,,117.75421190476192,232.15294749999998
2011-01-01,,,277.21753095238097,130.102775,199.94108421052633,,553.8858864864865,108.22804761904763,234.8049425
2011-02-01,,,261.66295,132.04012592592593,178.32728684210525,,730.6682260869566,110.70810714285714,225.3132175
2011-03-01,,,274.7715595238095,143.91337037037036,175.40218292682925,,940.223515,119.7114380952381,226.9618358974359
2011-04-01,,,299.60628333333335,170.12005,196.18183095238095,,722.2132928571428,144.38943095238096,240.5000575
2011-05-01,,,334.48893571428573,171.532124,210.1647891891892,,594.8453923076924,144.52988333333334,272.48870512820514
2011-06-01,,,310.5525595238095,177.21692608695653,244.10557894736843,,610.3438526315789,143.6570119047619,246.88223250000001
2011-07-01,,,308.92110952380955,176.85,267.2294078947369,,670.3509799999999,137.11666666666665,213.0199125
2011-08-01,,,322.8189785714286,168.59290416666667,225.05447894736844,,727.9462884615385,140.21399285714284,225.7552275
2011-09-01,,,324.0659476190476,163.0806888888889,226.33408684210525,,874.421375,139.0807357142857,227.70362749999998
2011-10-01,,,313.79761904761904,172.81491851851854,236.13354594594594,,1392.4263375,145.76251904761907,230.9714375
2011-11-01,,,310.1578404761905,164.1643296296296,243.2716763157895,,834.2886852941176,133.9480904761905,237.34402749999998
2011-12-01,,,299.8256979591837,170.94477142857144,258.5639636363636,,577.8375699999999,141.34497346938775,257.8469083333333
2012-01-01,1006.1944195652173,307.993524,258.75219803921567,163.817446875,258.2600574468085,588.338305882353,680.3029,151.84952352941178,276.5875916666667
2012-02-01,1241.099038095238,405.3574630434782,266.607885106383,174.86104516129032,225.13981162790697,613.507134375,894.2724545454545,171.07965957446808,294.23122727272727
2012-03-01,1481.288731707317,463.86502888888884,291.8375108695652,185.14382187500001,202.13533409090908,555.6782,1299.0479666666665,188.77011739130435,336.3134022727273
2012-04-01,1498.898312195122,448.53391489361707,331.359181632653,200.62500303030305,220.97938085106384,478.4816666666666,1249.73018,184.90019591836733,385.1050217391304
2012-05-01,1057.085828888889,469.4902862745098,341.60871698113203,217.3909542857143,239.35229787234044,412.9809040816326,967.2946066666666,183.04400377358493,386.7355979166667
